source,target
1736,4822633
1090466,9380
1736,5150
1407498,2857839
1271085,3
1245,4860682
1129647,1736
271738,884
4854321,8655
1231717,226366
1107809,8655
207070,89289
4854335,8655
1245,4785
2141479,226366
15899,40276
1889722,3
118372,4425469
1245,20747
2975,5542275
116341,3
4854320,8655
3087,61241
10468,13301
1201337,1331
1391387,7202
17194,18471
22860,334719
2204260,2975
1814694,226366
18471,54423
1331,76851
226366,933558
8349,9251
1245,1374727
52057,776
1271128,3
334719,5838
15899,5249987
12073,65717
1331,2781982
118372,4425468
1739,218798
1245,12929
1036174,216728
1331,2832838
123255,334719
196537,89289
107322,1483153
1736,1893
1385443,18471
1819858,8349
19742,3249989
1281001,52057
1736,3493
78021,97823
2581806,571562
1736,2946583
7075,9893
226366,4888761
216075,97823
2778,7491
2098137,8349
3087,47756
1331,2082764
104617,226366
216140,2975
14320,44897
114674,15899
1005788,107515
2727676,89289
118752,226366
1004624,1245
1720041,18471
2285635,74611
334719,57756
231778,3
8655,8667
1331,1332
1292753,1331
1245,1713975
555312,89289
2101521,8655
14320,19133
120724,1407498
4301544,74611
51792,6384
14320,70440
1019,92416
1331,186448
18471,18475
1736,80619
1331,2082767
16298,52057
1223812,8349
1841463,8655
1610254,19742
1191103,1331
13301,5750251
145073,544472
2391828,8351
1331,1501855
1245,139900
1271059,3
1348591,3814904
3,3432157
5606,8349
349,73177
18471,76094
2975,7244
1331,4461219
1174008,884
3084,7174
3,489
145073,28608
88450,97823
1866197,65717
32718,89289
1107983,932497
1213158,80874
110380,1120787
226366,74568
216140,63739
1245,91606
1331,2109069
1736,65769
1245,66776
27637,7202
132539,3
3087,3143
226366,2596977
1331,75264
1025337,8655
1173099,1736
26660,31309
1297243,210773
2291142,74611
13301,172365
291263,298410
1407495,58959
185950,2778
74611,78160
146084,884
19742,3220622
2975,5542287
1736,3465751
1216947,3
145073,25976
1209251,2975
1209245,3054098
161945,2778
2101520,8655
167363,3087
1298360,18471
3,8943
123012,334719
2975,52057
214943,89289
1099751,884
1717,2975
2975,4741912
1730654,65553
18471,18472
1331,1336161
4854338,8655
107375,19742
15899,4483
152638,52057
1331,1828292
13301,325
13301,960479
110380,5287091
530,9380
5916,8349
3,42269
1812,74611
13301,88186
2778,31071
1490,89289
1331,2832880
1492029,8655
1232331,334719
1209246,2975
3,7211
4301542,74611
1245,19272
1134882,13301
1331,1414764
18471,77025
74611,83414
13301,13643
1107983,2694262
107515,33259
1611613,2778
10739,1245
119520,3173
18471,1897
1245,228954
2109575,226366
1209245,9380
1736,76512
4411206,74611
1306735,3
7202,85
118372,1931805
210826,226366
117,1331
1757648,6384
1739,3685213
2172202,226366
1373737,1736
1331,2082710
1736,226366
3853486,80874
15899,1642849
19742,2694265
2975,4888761
1558881,52057
107515,6240
1215055,1736
1231281,74611
2975,31309
1331,2082765
571562,98392
2975,30315
107322,483327
112684,57799
65717,83271
1245,221611
107515,16501
1999048,226366
52057,931039
155983,65717
103853,7202
4854336,8655
1183443,3
110516,1331
2975,8354
1407495,4840589
2341410,2778
1348591,5837137
29522,3084
1245,136921
218366,75841
1736,74931
1259,13301
110695,7202
3084,81970
1019,2975
118372,72208
107322,1139338
145073,1460964
13301,28134
102809,52057
1736,2887712
1107983,5554529
1019,47156
3087,99788
1100,1245
2975,45581
1036174,999580
1461,18471
226366,4094225
107515,72132
1107983,2400103
7074,9893
114831,89289
1723910,78576
110380,3157670
120560,1245
30812,7202
2220823,884
118372,4425465
107322,189996
1631358,226366
2975,74568
1224857,13301
571562,60279
571562,61983
4854322,8655
2025035,97823
33663,97823
60737,74611
1407498,2438643
1422337,18471
1404390,3173
65553,76140
16525,3087
3,8256
14151,3087
50974,571562
14386,3084
1245,2472344
19742,5413729
1461461,78576
2080646,65717
1238232,1331
15048,334719
39545,76069
52057,94435
1107983,3189367
103901,13301
1739,36821
107323,2975
12206,1331
1331,2595022
1203314,8655
1019,1433678
4294859,8655
584,6384
1271096,3
1918850,226366
7202,8655
1107983,3238711
1290584,19742
1245,60898
1107983,155766
1271079,3
13301,65314
1173999,884
1036174,1837833
10690,210773
161776,97823
1736,231857
1736,59844
120686,13301
1271127,3
159948,2975
1299613,45581
208833,226366
1278784,349
2975,8349
1107983,5554795
226366,38939
1776,9560
106242,884
3,70417
1265056,226366
