id,name
2975,Laurence Fishburne
8349,Martin Sheen
3084,Marlon Brando
8351,Frederic Forrest
8354,Albert Hall
8350,Sam Bottoms
3087,Robert Duvall
3173,G. D. Spradlin
3,Harrison Ford
8346,Jerry Ziesmer
349,Scott Glenn
1402117,Kerry Rossall
1739,James Keane
80874,Tom Mason
550106,Cynthia Wood
2778,Dennis Hopper
13023,Colleen Camp
1664821,Linda Carpenter
9893,Aurore Clément
14320,Jack Thibeau
1532851,Glenn Walken
159948,Damien Leake
103853,Marc Coppola
65553,Bill Graham
2342448,Herb Rice
1391387,Jerry Ross
43524,Charles Robinson
107323,Nick Nicholson
1073850,Don Gordon Bell
8655,R. Lee Ermey
45581,Jim Gaines
7202,Vittorio Storaro
57925,Evan A. Lottman
1776,Francis Ford Coppola
107322,Henry Strzalkowski
1731075,William Upton
3223431,George Cantero
97823,Joe Estevez
3165802,Bo Byers
145073,Frank Villard
38914,Christian Marquand
3787166,Michel Pitton
2042242,David Olivier
5542264,Chrystel Le Pelletier
38803,Roman Coppola
1757777,Gian-Carlo Coppola
5542272,Robert Julian
5542275,Yvon LeSeaux
5542280,Daniel Kiewit
5542287,Hattie James
6384,Keanu Reeves
530,Carrie-Anne Moss
1331,Hugo Weaving
9364,Gloria Foster
532,Joe Pantoliano
9372,Marcus Chong
7244,Julian Arahanga
9374,Matt Doran
9376,Belinda McClory
9378,Anthony Ray Parker
9380,Paul Goddard
39545,Robert Taylor
9383,David Aston
9384,Marc Aden Gray
181214,Ada Nicodemou
1090466,Deni Gordon
218366,Rowan Witt
1209244,Eleanor Witt
1209245,Tamara Brown
1209246,Janaya Pender
1209247,Adryn White
1209248,Natalie Tjen
57799,Bill Young
1209249,David O'Connor
1209250,Jeremy Ball
1209251,Fiona Johnson
110411,Harry Lawrence
212562,Steve Dodd
1209252,Luke Quinton
75715,Lawrence Woodward
1209253,Michael Butcher
1209254,Bernard Ledger
1209255,Chris Pattinson
26753,Robert Simper
1209256,Nigel Harbach
75131,Nash Edgerton
74568,Chris Hemsworth
226366,Brian Tyree Henry
1245,Scarlett Johansson
298410,Keegan-Michael Key
65717,Jon Hamm
884,Steve Buscemi
171997,Vanessa Liguori
2204260,Jon Bailey
1375036,Jason Konopisos-Alvarez
1613049,Evan Michael Lee
1736,James Remar
1717,Isaac C. Singleton Jr.
571562,Steve Blum
1475362,Jinny Chung
84496,Josh Cooley
4888761,Dillon Bryan
18471,Anthony Anderson
74611,Tracee Ellis Ross
1407498,Marsai Martin
118372,Yara Shahidi
1407495,Miles Brown
1348591,Marcus Scribner
15899,Jenifer Lewis
216140,Deon Cole
1036174,Aloe Blacc
1407486,Kenya Barris
52605,Eva Longoria
1107983,Martin Luther King Jr.
52057,Obba Babatundé
110380,Colin Powell
89289,Jesse Jackson
19742,Malcolm X
13301,Quincy Jones
31309,Hugh Hefner
23628,Eriq La Salle
115768,Howard K. Smith
334719,Mike Douglas
17311,Bryan Fuller
1019,Mads Mikkelsen
12791,Hugh Dancy
1240816,Steve Lightfoot
19051,Martha De Laurentiis
30315,Richard Armitage
210773,Rutina Wesley
4741912,Rudy Espinosa
12214,Gillian Anderson
17306,Zachary Quinto
23548,Christopher Hargadon
107515,Raúl Esparza
1102260,Lara Jean Chorostecki
31383,Caroline Dhavernas
1701263,Robert Crowther
1204189,Rory Cheyne
78576,Scott Thompson
40839,Brian Reitzell
3264451,Ann Adachi-Tasch
1034310,Margaret Bodde
126750,Serge Bromberg
3264453,Te-Ling Chen
3264454,Benjamin Chowkwan Ado
27436,Costa-Gavras
2301754,Dennis Doros
566294,Patricio Guzmán
1084730,Anne Hubbell
15488,Ken Loach
1216018,Ben Mankiewicz
1092208,Jonas Mekas
1032,Martin Scorsese
578,Ridley Scott
37526,Fernando Trueba
2303,Wim Wenders
199842,Caroline Yeager
3193167,Pyotr Bagrov
2148083,Paolo Cherchi Usai
32804,Simon Fisher-Turner
30812,Jan-Christopher Horak
100907,Juan Mariné
1561916,Mark Toscano
1470587,Brian Meacham
1035,Paul Schrader
19044,Tim Silano
1640,Stellan Skarsgård
53916,Ralph Brown
32458,Gabriel Mann
27957,Antonie Kamerling
27637,Clara Bellar
73963,Billy Crawford
27888,Raúl Juliá
2630,Nastassja Kinski
2887,Tom Waits
21830,Miljen 'Kreka' Kljaković
4723,Brian Helgeland
253085,Goran Marković
8246,Barry Levinson
85,Johnny Depp
110695,Majid Majidi
3663,Jerry Lewis
1051358,Srđan Karanović
253414,Slobodan Šijan
1009298,Goran Paskaljević
70877,Dušan Kovačević
9264,Sergio Mimica-Gezzan
1642831,Matti Leshem
149277,Ken Follett
68503,Rola Bauer
573606,Ademir Kenović
1122373,Marion Barry
1122374,Chuck Brown
1122375,Lewis Franklin
971344,Denyce Graves
1122376,Rhia Hardman
114831,Kenneth Horne
1122377,Darrell Watson
117418,Mahalia Jackson
1188876,Horace Clarence Boyer
1188877,John Sellers
586186,George Avakian
236489,Studs Terkel
82280,Louis Armstrong
214919,Ed Sullivan
1188878,Ralph Abernathy
82702,Michael Jackson
54421,Janet Jackson
207070,Jermaine Jackson
1314165,Joe Jackson
1137185,Katherine Jackson
19189,Elizabeth Berkley
74715,Kobe Bryant
66586,Mariah Carey
32718,Berry Gordy
564886,Judith Hill
15565,Jennifer Hudson
1274291,Paris Jackson
15758,Queen Latifah
57108,Usher
181891,Lionel Richie
15110,Brooke Shields
65310,Kenny Ortega
107617,Smokey Robinson
1082381,Jackie Jackson
85930,John Mayer
61399,Mike Ditka
1232728,Jim McMahon
1723195,Mike Singletary
1071744,Steve McMichael
1216187,Willie Gault
1723194,Dan Hampton
1723197,Otis Wilson
12799,Jeremy Piven
1532,Bill Murray
66606,George Wendt
204352,Bill Kurtis
1230105,Rahm Emanuel
198150,Ike Barinholtz
556033,Michael Wilbon
1223721,Phil Simms
53684,Robert Smigel
1454295,David Stassen
1723196,Rick Telander
1280183,Coretta Scott King
1006651,John Lewis
128550,Desmond Tutu
50576,Jimmy Carter
214943,Dick Gregory
180659,Rosa Parks
1490,Joan Baez
51962,Bill Cosby
1267158,Julian Bond
16897,Sidney Poitier
545358,Amiri Baraka
91433,Bobby Seale
33162,Harry Belafonte
6542,Isaac Hayes
6487,Richard Roundtree
1932970,Betty Shabazz
2684385,Charles Diggs
555312,Walter Fauntroy
2684405,Herman Carl McCall
1219050,Hank Aaron
14414,Kareem Abdul-Jabbar
65605,Muhammad Ali
1250051,Arthur Ashe
4774,Jim Brown
1214221,Bud Collins
1638233,Jim Dent
1604970,Gerald Early
2727675,Lee Elder
196537,Julius Erving
2727676,Zina Garrison-Jackson
1238818,Althea Gibson
1249509,Dwight Gooden
173193,Bo Jackson
2231,Samuel L. Jackson
2727677,K.C. Jones
23678,Michael Jordan
1263216,Oscar Robertson
1227917,Bill Russell
2727679,Wyomia Tyus
1315492,Peter Vecsey
1430008,Dick Schaap
1218607,Tiger Woods
2787630,Valentin Zorin
98568,Paul Robeson
2799039,Edward Helms
2799047,Robert M. Shelton
181934,Al Sharpton
496175,Carmelo Anthony
36811,Nick Cannon
2671674,Clayborne Carson
1025680,Van Jones
2818940,Janice Kelsey
5195317,Diane Nash
5000211,KeJuan Goldsmith
116,Keira Knightley
20907,Antoine Fuqua
770,Jerry Bruckheimer
2296,Clive Owen
65524,Ioan Gruffudd
5538,Ray Winstone
1844,Til Schweiger
56262,Aaron Abrams
1218184,Hettienne Park
587506,Shameik Moore
130640,Hailee Steinfeld
141610,Luna Lauren Vélez
543505,Jake Johnson
25072,Oscar Isaac
17881,Jason Schwartzman
1455336,Issa Rae
206919,Daniel Kaluuya
1109702,Karan Soni
74242,Shea Whigham
1260481,Greta Lee
932967,Mahershala Ali
561869,Amandla Stenberg
1664716,Jharrel Jerome
62861,Andy Samberg
1030513,Jack Quaid
32905,Rachel Dratch
154857,Ziggy Marley
62863,Jorma Taccone
18999,J.K. Simmons
119589,Donald Glover
20,Elizabeth Perkins
17696,Kathryn Hahn
2195140,Ayo Edebiri
1814694,Nicole Delaney
4094163,Antonina Lentini
932639,Atsuko Okatsuka
21198,Peter Sohn
587697,Melissa Sturm
1261105,Lorraine Velez
928698,Nic Novicki
1213573,Taran Killam
2166356,Metro Boomin
20903,Josh Keaton
2119084,Sofia Barclay
3208721,Danielle Perez
127387,Yuri Lowenthal
2344237,Rita Rani Ahuja
128154,Ismail Bashey
1036171,Oscar Camacho
4094194,Freddy Ferrari
2784051,Kerry Gutierrez
2842817,Kamal Khan
4094197,Angelo Sekou Kouyate
2597017,Andrew Leviton
104617,David Michie
4094198,Sumit Naig
1363155,Juan Pacheco
87363,Chrystee Pharris
1243782,Ben Pronsky
